item1,item2,n
SUN,BEACH-WITH-UMBRELLA,2
BEACH-WITH-UMBRELLA,MAN-AND-WOMAN-HOLDING-HANDS,2
BEACH-WITH-UMBRELLA,TROPICAL-DRINK,2
DESERT-ISLAND,MUSICAL-SCORE,2
BACKHAND-INDEX-POINTING-RIGHT,OK-HAND,2
BIRTHDAY-CAKE,CROSSED-FLAGS,2
BIRTHDAY-CAKE,RED-PAPER-LANTERN,2
CROSSED-FLAGS,RED-PAPER-LANTERN,2
RAILWAY-TRACK,WOMAN,2
WATER-WAVE,PALM-TREE,2
DESERT-ISLAND,PERSON-SURFING,2
DESERT-ISLAND,HELICOPTER,2
SUN,SUNRISE-OVER-MOUNTAINS,1
BEACH-WITH-UMBRELLA,SUNRISE-OVER-MOUNTAINS,1
HOT-BEVERAGE,RUNNING-SHOE,1
HOT-BEVERAGE,BICYCLE,1
RUNNING-SHOE,BICYCLE,1
CANADA,SNOWFLAKE,1
CANADA,ICE-HOCKEY,1
SNOWFLAKE,ICE-HOCKEY,1
BEACH-WITH-UMBRELLA,GREECE,1
MAN-AND-WOMAN-HOLDING-HANDS,GREECE,1
INDIA,FOLDED-HANDS,1
INDIA,LOCOMOTIVE,1
FOLDED-HANDS,LOCOMOTIVE,1
VOLCANO,PERSON-BIKING,1
VOLCANO,MONKEY-FACE,1
PERSON-BIKING,MONKEY-FACE,1
MOUNT-FUJI,PERSON-RUNNING,1
MOUNT-FUJI,FEMALE-SIGN,1
PERSON-RUNNING,FEMALE-SIGN,1
MOUNT-FUJI,LEAF-FLUTTERING-IN-WIND,1
PERSON-RUNNING,LEAF-FLUTTERING-IN-WIND,1
FEMALE-SIGN,LEAF-FLUTTERING-IN-WIND,1
CANADA,MOVIE-CAMERA,1
MOVIE-CAMERA,PERSON-TAKING-BATH,1
MOVIE-CAMERA,HOUSE,1
PERSON-TAKING-BATH,HOUSE,1
SMILING-FACE-WITH-OPEN-MOUTH-,BRIGHT-BUTTON,1
SMILING-FACE-WITH-OPEN-MOUTH-,ZZZ,1
BRIGHT-BUTTON,ZZZ,1
FEMALE-SIGN,CAMPING,1
FEMALE-SIGN,UNITED-KINGDOM,1
CAMPING,UNITED-KINGDOM,1
FEMALE-SIGN,GUARD,1
CAMPING,GUARD,1
UNITED-KINGDOM,GUARD,1
PERSON-SWIMMING,SUNRISE,1
PERSON-SWIMMING,TENT,1
SUNRISE,TENT,1
PERSON-BIKING,NETHERLANDS,1
BEACH-WITH-UMBRELLA,CLINKING-BEER-MUGS,1
PERSON-BIKING,CLINKING-BEER-MUGS,1
CAMPING,CLINKING-BEER-MUGS,1
NETHERLANDS,CLINKING-BEER-MUGS,1
GRINNING-FACE-WITH-SMILING-EYES,SUN-WITH-FACE,1
VOLCANO,WATER-WAVE,1
GRINNING-FACE-WITH-SMILING-EYES,WATER-WAVE,1
SUN-WITH-FACE,WATER-WAVE,1
SUN,TROPICAL-DRINK,1
MAN-AND-WOMAN-HOLDING-HANDS,TROPICAL-DRINK,1
SUNSET,TROPICAL-DRINK,1
SUNSET,DESERT-ISLAND,1
TROPICAL-DRINK,DESERT-ISLAND,1
DESERT-ISLAND,SHIP,1
DESERT-ISLAND,SUNFLOWER,1
SHIP,SUNFLOWER,1
ZZZ,TOKYO-TOWER,1
SUNRISE,TOKYO-TOWER,1
ZZZ,SHOPPING-BAGS,1
TOKYO-TOWER,SHOPPING-BAGS,1
CHEQUERED-FLAG,TROPHY,1
CHEQUERED-FLAG,AUTOMOBILE,1
TROPHY,AUTOMOBILE,1
SUNRISE,WINE-GLASS,1
SUNRISE,KISS,1
WINE-GLASS,KISS,1
HOT-BEVERAGE,DIRECT-HIT,1
BEACH-WITH-UMBRELLA,ARTIST-PALETTE,1
HOT-BEVERAGE,ARTIST-PALETTE,1
DIRECT-HIT,ARTIST-PALETTE,1
HOT-BEVERAGE,PIZZA,1
DIRECT-HIT,PIZZA,1
ARTIST-PALETTE,PIZZA,1
MAN-AND-WOMAN-HOLDING-HANDS,SLOT-MACHINE,1
MAN-AND-WOMAN-HOLDING-HANDS,WEDDING,1
SLOT-MACHINE,WEDDING,1
VICTORY-HAND,RED-HEART,1
VICTORY-HAND,MUSICAL-SCORE,1
RED-HEART,MUSICAL-SCORE,1
SUN-WITH-FACE,POULTRY-LEG,1
SUN-WITH-FACE,DIZZY,1
POULTRY-LEG,DIZZY,1
SUN-WITH-FACE,BUTTERFLY,1
WATER-WAVE,BUTTERFLY,1
POULTRY-LEG,BUTTERFLY,1
DIZZY,BUTTERFLY,1
SUN-WITH-FACE,MOSQUE,1
POULTRY-LEG,MOSQUE,1
DIZZY,MOSQUE,1
BUTTERFLY,MOSQUE,1
SUN-WITH-FACE,SHALLOW-PAN-OF-FOOD,1
POULTRY-LEG,SHALLOW-PAN-OF-FOOD,1
DIZZY,SHALLOW-PAN-OF-FOOD,1
BUTTERFLY,SHALLOW-PAN-OF-FOOD,1
MOSQUE,SHALLOW-PAN-OF-FOOD,1
SUNRISE,IRELAND,1
WATER-WAVE,IRELAND,1
UNITED-KINGDOM,CAMERA,1
SUNRISE,CAMERA,1
IRELAND,CAMERA,1
CANADA,HIGH-VOLTAGE,1
MOVIE-CAMERA,HIGH-VOLTAGE,1
HOT-BEVERAGE,MILKY-WAY,1
CAMPING,MILKY-WAY,1
CLINKING-BEER-MUGS,MILKY-WAY,1
HOT-BEVERAGE,ALIEN,1
IRELAND,ALIEN,1
MILKY-WAY,ALIEN,1
WATER-WAVE,TUMBLER-GLASS,1
WATER-WAVE,SHAMROCK,1
TUMBLER-GLASS,SHAMROCK,1
BEACH-WITH-UMBRELLA,BOOKS,1
CLINKING-BEER-MUGS,BOOKS,1
SUNRISE-OVER-MOUNTAINS,EVERGREEN-TREE,1
SUNRISE-OVER-MOUNTAINS,RHINOCEROS,1
EVERGREEN-TREE,RHINOCEROS,1
CLINKING-BEER-MUGS,GUITAR,1
CLINKING-BEER-MUGS,HAMBURGER,1
GUITAR,HAMBURGER,1
UNITED-KINGDOM,FRAMED-PICTURE,1
FRAMED-PICTURE,SUSHI,1
FRAMED-PICTURE,CITYSCAPE-AT-DUSK,1
SUSHI,CITYSCAPE-AT-DUSK,1
FEMALE-SIGN,BLOND-HAIRED-PERSON,1
BLOND-HAIRED-PERSON,ENVELOPE,1
CAMERA,OWL,1
BLOND-HAIRED-PERSON,OWL,1
ENVELOPE,OWL,1
CAMPING,MOUNTAIN,1
CAMERA,MOUNTAIN,1
OWL,MOUNTAIN,1
FEMALE-SIGN,BACKHAND-INDEX-POINTING-RIGHT,1
BLOND-HAIRED-PERSON,BACKHAND-INDEX-POINTING-RIGHT,1
FEMALE-SIGN,OK-HAND,1
BLOND-HAIRED-PERSON,OK-HAND,1
HOT-BEVERAGE,HIGH-SPEED-TRAIN,1
HOT-BEVERAGE,SUN-BEHIND-CLOUD,1
HIGH-SPEED-TRAIN,SUN-BEHIND-CLOUD,1
HOT-BEVERAGE,NIGHT-WITH-STARS,1
HIGH-SPEED-TRAIN,NIGHT-WITH-STARS,1
SUN-BEHIND-CLOUD,NIGHT-WITH-STARS,1
HOT-BEVERAGE,COCKTAIL-GLASS,1
HIGH-SPEED-TRAIN,COCKTAIL-GLASS,1
SUN-BEHIND-CLOUD,COCKTAIL-GLASS,1
NIGHT-WITH-STARS,COCKTAIL-GLASS,1
HOT-BEVERAGE,CONFETTI-BALL,1
HIGH-SPEED-TRAIN,CONFETTI-BALL,1
SUN-BEHIND-CLOUD,CONFETTI-BALL,1
NIGHT-WITH-STARS,CONFETTI-BALL,1
COCKTAIL-GLASS,CONFETTI-BALL,1
IRELAND,SHEEP,1
ALIEN,SHEEP,1
FRANCE,HANDSHAKE,1
FRANCE,DIZZY-FACE,1
HANDSHAKE,DIZZY-FACE,1
DESERT-ISLAND,MUSICAL-NOTES,1
SHOPPING-BAGS,MUSICAL-NOTES,1
TUMBLER-GLASS,MUSICAL-NOTES,1
DESERT-ISLAND,DRAGON,1
MUSICAL-NOTES,DRAGON,1
DESERT-ISLAND,SKULL,1
UNITED-KINGDOM,CLINKING-GLASSES,1
CAMERA,CLINKING-GLASSES,1
DESERT-ISLAND,FIVE-O-CLOCK,1
SKULL,FIVE-O-CLOCK,1
SYRINGE,PILL,1
SYRINGE,MUSHROOM,1
PILL,MUSHROOM,1
WINE-GLASS,EYE,1
WINE-GLASS,NATIONAL-PARK,1
EYE,NATIONAL-PARK,1
WATER-WAVE,PEACE-SYMBOL,1
WATER-WAVE,DOG,1
PEACE-SYMBOL,DOG,1
BEACH-WITH-UMBRELLA,RAILWAY-TRACK,1
CAMPING,RAILWAY-TRACK,1
WATER-WAVE,RAILWAY-TRACK,1
ARTIST-PALETTE,RAILWAY-TRACK,1
IRELAND,RAILWAY-TRACK,1
MOUNTAIN,RAILWAY-TRACK,1
BEACH-WITH-UMBRELLA,WOMAN,1
CAMPING,WOMAN,1
ARTIST-PALETTE,WOMAN,1
MOUNTAIN,WOMAN,1
MAP-OF-JAPAN,FAMILY,1
MAP-OF-JAPAN,HIGH-SPEED-TRAIN-WITH-BULLET-NOSE,1
FAMILY,HIGH-SPEED-TRAIN-WITH-BULLET-NOSE,1
TOKYO-TOWER,EGGPLANT,1
TOKYO-TOWER,GLOBE-SHOWING-AMERICAS,1
TROPHY,GLOBE-SHOWING-AMERICAS,1
EGGPLANT,GLOBE-SHOWING-AMERICAS,1
DEER,PISTOL,1
WATER-WAVE,FORK-AND-KNIFE-WITH-PLATE,1
DEER,FORK-AND-KNIFE-WITH-PLATE,1
PISTOL,FORK-AND-KNIFE-WITH-PLATE,1
DESERT-ISLAND,JAMAICA,1
MUSICAL-SCORE,JAMAICA,1
HIGH-SPEED-TRAIN-WITH-BULLET-NOSE,GLOBE-SHOWING-EUROPE-AFRICA,1
GLOBE-SHOWING-AMERICAS,GLOBE-SHOWING-EUROPE-AFRICA,1
GLOBE-SHOWING-AMERICAS,GLOBE-SHOWING-ASIA-AUSTRALIA,1
GLOBE-SHOWING-EUROPE-AFRICA,GLOBE-SHOWING-ASIA-AUSTRALIA,1
GLOBE-SHOWING-AMERICAS,COWBOY-HAT-FACE,1
WINE-GLASS,MICROPHONE,1
GLOBE-SHOWING-AMERICAS,MICROPHONE,1
COWBOY-HAT-FACE,MICROPHONE,1
SHOPPING-BAGS,BENTO-BOX,1
SHOPPING-BAGS,PANDA-FACE,1
BENTO-BOX,PANDA-FACE,1
SHOPPING-BAGS,BOUQUET,1
MUSICAL-NOTES,BOUQUET,1
SPEAK-NO-EVIL-MONKEY,SEE-NO-EVIL-MONKEY,1
SPEAK-NO-EVIL-MONKEY,HEAR-NO-EVIL-MONKEY,1
SEE-NO-EVIL-MONKEY,HEAR-NO-EVIL-MONKEY,1
MOVIE-CAMERA,ROCKET,1
MOVIE-CAMERA,SPARKLES,1
ROCKET,SPARKLES,1
TROPHY,BELGIUM,1
GLOBE-SHOWING-AMERICAS,BELGIUM,1
BEACH-WITH-UMBRELLA,AIRPLANE,1
SUNRISE,AIRPLANE,1
TOKYO-TOWER,AIRPLANE,1
AIRPLANE,STATUE-OF-LIBERTY,1
AIRPLANE,SHORTCAKE,1
STATUE-OF-LIBERTY,SHORTCAKE,1
BEACH-WITH-UMBRELLA,SUNGLASSES,1
AIRPLANE,SUNGLASSES,1
CAMPING,MAN,1
MOUNTAIN,MAN,1
RAILWAY-TRACK,MAN,1
WOMAN,MAN,1
CAMPING,BOY,1
MOUNTAIN,BOY,1
RAILWAY-TRACK,BOY,1
WOMAN,BOY,1
MAN,BOY,1
CAMPING,TICKET,1
MOUNTAIN,TICKET,1
RAILWAY-TRACK,TICKET,1
WOMAN,TICKET,1
MAN,TICKET,1
BOY,TICKET,1
CAMPING,DESERT,1
MOUNTAIN,DESERT,1
RAILWAY-TRACK,DESERT,1
WOMAN,DESERT,1
MAN,DESERT,1
BOY,DESERT,1
TICKET,DESERT,1
TROPHY,ELEPHANT,1
ELEPHANT,DOLPHIN,1
ELEPHANT,TWO-HUMP-CAMEL,1
DOLPHIN,TWO-HUMP-CAMEL,1
BUTTERFLY,PALM-TREE,1
MUSICAL-NOTES,PALM-TREE,1
FORK-AND-KNIFE-WITH-PLATE,PALM-TREE,1
PALM-TREE,HIBISCUS,1
PALM-TREE,SHEAF-OF-RICE,1
HIBISCUS,SHEAF-OF-RICE,1
DESERT-ISLAND,SEAT,1
MUSICAL-SCORE,SEAT,1
HIGH-SPEED-TRAIN-WITH-BULLET-NOSE,MOUSE-FACE,1
GLOBE-SHOWING-EUROPE-AFRICA,MOUSE-FACE,1
WINE-GLASS,MAN-DANCING,1
MICROPHONE,MAN-DANCING,1
VOLCANO,OCTOPUS,1
WATER-WAVE,OCTOPUS,1
TROPHY,BLUE-HEART,1
TROPHY,BASEBALL,1
BLUE-HEART,BASEBALL,1
MOVIE-CAMERA,BED,1
MOVIE-CAMERA,ONCOMING-POLICE-CAR,1
BED,ONCOMING-POLICE-CAR,1
FOLDED-HANDS,EYES,1
FOLDED-HANDS,SPAIN,1
EYES,SPAIN,1
BEACH-WITH-UMBRELLA,FIREWORKS,1
BEACH-WITH-UMBRELLA,MOTOR-BOAT,1
SUNRISE,MOTOR-BOAT,1
FIREWORKS,MOTOR-BOAT,1
UNITED-KINGDOM,SMILING-CAT-FACE-WITH-HEART-EYES,1
FRAMED-PICTURE,SMILING-CAT-FACE-WITH-HEART-EYES,1
GUARD,CASTLE,1
DESERT-ISLAND,CASTLE,1
GUARD,CROWN,1
CASTLE,CROWN,1
SUNRISE,WORLD-MAP,1
MOTOR-BOAT,WORLD-MAP,1
SUN-WITH-FACE,PERSON-SURFING,1
ROCKET,PERSON-SURFING,1
ROCKET,ALIEN-MONSTER,1
PERSON-SURFING,ALIEN-MONSTER,1
TUMBLER-GLASS,MAPLE-LEAF,1
MUSICAL-NOTES,MAPLE-LEAF,1
PERSON-SURFING,PERSON-GOLFING,1
PERSON-SURFING,FIJI,1
PERSON-GOLFING,FIJI,1
CASTLE,HELICOPTER,1
PERSON-SURFING,HELICOPTER,1
BEACH-WITH-UMBRELLA,BEER-MUG,1
SUNRISE,BEER-MUG,1
IRELAND,BEER-MUG,1
SUNRISE,PASSENGER-SHIP,1
BEER-MUG,PASSENGER-SHIP,1
JAPAN,STEAMING-BOWL,1
JAPAN,JAPANESE-CASTLE,1
STEAMING-BOWL,JAPANESE-CASTLE,1
SHEEP,RAISED-FIST,1
SHEEP,MIDDLE-FINGER,1
RAISED-FIST,MIDDLE-FINGER,1
TROPHY,AMERICAN-FOOTBALL,1
TUMBLER-GLASS,AMERICAN-FOOTBALL,1
ELEPHANT,AMERICAN-FOOTBALL,1
CHRISTMAS-TREE,PENGUIN,1
CHRISTMAS-TREE,ICE-SKATE,1
PENGUIN,ICE-SKATE,1
BACKHAND-INDEX-POINTING-RIGHT,TWO-HEARTS,1
OK-HAND,TWO-HEARTS,1
IRELAND,RAINBOW,1
BEER-MUG,RAINBOW,1
PISTOL,FIRE-ENGINE,1
PISTOL,WOMAN-DANCING,1
FIRE-ENGINE,WOMAN-DANCING,1
DESERT-ISLAND,AIRPLANE-DEPARTURE,1
PERSON-SURFING,AIRPLANE-DEPARTURE,1
TUMBLER-GLASS,FLEUR-DE-LIS,1
AMERICAN-FOOTBALL,FLEUR-DE-LIS,1
TUMBLER-GLASS,SAXOPHONE,1
AMERICAN-FOOTBALL,SAXOPHONE,1
FLEUR-DE-LIS,SAXOPHONE,1
MUSICAL-NOTES,HEART-SUIT,1
PALM-TREE,HEART-SUIT,1
SUN-WITH-FACE,SKIS,1
PERSON-SURFING,SKIS,1
BEACH-WITH-UMBRELLA,FLAG-IN-HOLE,1
BEER-MUG,FLAG-IN-HOLE,1
BEER-MUG,SNOW-CAPPED-MOUNTAIN,1
BEER-MUG,NORWAY,1
SNOW-CAPPED-MOUNTAIN,NORWAY,1
SMILING-FACE-WITH-HEART-EYES,NERD-FACE,1
SMILING-FACE-WITH-HEART-EYES,FLUSHED-FACE,1
NERD-FACE,FLUSHED-FACE,1
OPEN-BOOK,CROISSANT,1
OPEN-BOOK,SLEEPING-FACE,1
CROISSANT,SLEEPING-FACE,1
